Line,Location
FA048,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:5,33",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA049,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:4,53",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA050,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:17,64",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA051,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:18,86",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA053,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:3,78",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA052,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:3,74",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA054,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:29,70",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA058,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:15,10",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA059,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:21,52",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA067,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:10,34",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA063,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:20,40",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA064,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:1,04",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA062,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:4,09",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
F_LIFT_1,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:4,55",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA059A,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:1,06",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA038,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:2,45",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA036,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:17,84",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA034,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:4,60",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA032,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:111,91",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA033,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:1,08",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA032A,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:0,37",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA066,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:42,18",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA031,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:387,63",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA056,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:34,62",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA058A,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:12,52",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA065,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:36,45",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA047,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:41,41",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA044,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:418,29",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA030B,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:8,68",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA030A,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:25,20",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA030,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:29,49",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA044B,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:7,45",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FA055,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:13,73",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
F055A,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
"Gross:7,65",C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
Scale: 1:440 Date: 28-Sep-2024,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
Floor:,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
FESTIA,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
00,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
Normal,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
Building:,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
Campus: HERVANTA,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
Open area,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
Shaft,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
Elevator shaft,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
Not rented area,C:\Users\soura\OneDrive\Desktop\node\maps\maps\hervanta\festia\00\floor.txt
